ID_cliente,cliente_vigente,genero,cliente>=65_anos,matrimonio,tiene_dependientes,#_meses_contrato,servicio_telefonico,suscripcion>1_linea,internet_internetservice,suscripcion_seguridad_linea,suscripcion_de_respaldo,suscripcion_proteccion,suscripcion_soporte,suscripcion_tv_cable,suscripcion_peliculas,tipo_contrato,factura_electronica,forma_pago,total_servicios_mes,total_pagado_cliente,Cuentas_Diarias
0208-bpqej,0,Female,0,1,1,12,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),19.4,198.1,6.6033333333333335
0212-isbbf,0,Female,0,0,0,22,0,0,Dsl,0,1,0,0,1,1,Month-to-month,1,Electronic check,50.35,1098.85,36.62833333333333
0214-jhpfw,0,Female,0,1,0,70,0,0,Dsl,0,1,1,1,1,1,Two year,0,Bank transfer (automatic),57.8,4039.3,134.64333333333335
0215-bqkgs,0,Male,0,0,0,30,1,0,Fiber optic,1,1,1,0,0,0,Month-to-month,1,Credit card (automatic),84.3,2438.6,81.28666666666666
0218-qnvas,0,Male,0,1,1,71,1,1,Fiber optic,0,1,0,0,1,1,One year,0,Bank transfer (automatic),100.55,7113.75,237.125
0219-qaerp,0,Male,0,1,0,30,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),19.8,576.65,19.221666666666668
0219-ytzue,1,Male,0,1,1,4,1,1,Fiber optic,0,1,1,0,0,0,Month-to-month,1,Bank transfer (automatic),84.8,371.9,12.396666666666667
0220-ebgce,1,Male,0,0,0,2,1,0,Fiber optic,0,0,1,0,0,1,Month-to-month,1,Electronic check,85.85,167.3,5.576666666666667
0221-nauxk,0,Male,0,0,1,10,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),19.95,219.5,7.316666666666666
0221-wmxnq,0,Male,1,0,0,4,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,0,Electronic check,75.35,273.4,9.113333333333333
0222-cnvpt,0,Male,1,0,0,52,0,0,Dsl,1,0,0,0,1,1,Month-to-month,1,Credit card (automatic),48.8,2555.05,85.16833333333334
0224-hjapt,1,Male,0,0,0,5,1,1,Dsl,0,0,0,0,0,0,Month-to-month,0,Electronic check,47.15,223.15,7.4383333333333335
0224-nijlp,0,Male,0,1,1,8,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.15,165.5,5.516666666666667
0224-rlwwd,0,Female,1,0,0,2,1,0,Dsl,0,0,0,0,0,0,Month-to-month,1,Electronic check,44.3,89.3,2.9766666666666666
0225-zorzp,0,Male,0,0,0,3,1,0,Fiber optic,0,1,0,0,0,1,Month-to-month,0,Electronic check,84.3,235.05,7.835
0228-mauwc,0,Male,0,0,0,19,1,1,Dsl,0,0,1,1,0,0,Month-to-month,0,Electronic check,59.55,1144.6,38.15333333333333
0229-lfjaf,0,Male,0,0,0,72,1,1,Dsl,1,1,1,1,0,0,Two year,0,Bank transfer (automatic),69.65,4908.25,163.60833333333332
0230-ubypq,0,Male,1,1,0,63,0,0,Dsl,1,0,0,1,0,0,One year,0,Bank transfer (automatic),36.1,2298.9,76.63000000000001
0230-wequw,0,Male,0,1,0,66,0,0,Dsl,1,1,1,1,1,0,Two year,1,Bank transfer (automatic),56.6,3789.2,126.30666666666666
0231-lxvap,1,Male,0,0,0,1,1,0,Fiber optic,0,0,0,1,0,0,Month-to-month,1,Electronic check,75.9,75.9,2.5300000000000002
0233-fthav,0,Female,0,0,0,60,1,1,Fiber optic,0,0,1,0,0,0,One year,1,Bank transfer (automatic),79.2,4765.0,158.83333333333334
0234-tevtt,0,Female,0,1,1,48,0,0,Dsl,1,0,1,0,0,1,One year,0,Credit card (automatic),45.0,2196.3,73.21000000000001
0235-kgslc,1,Female,0,0,0,1,1,0,Fiber optic,0,0,1,0,1,0,Month-to-month,1,Credit card (automatic),85.55,85.55,2.8516666666666666
0236-hfwsv,1,Male,0,0,0,15,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,93.35,1444.65,48.155
0237-yfutl,0,Female,0,1,0,50,1,1,Fiber optic,1,1,0,1,1,1,Month-to-month,1,Bank transfer (automatic),109.65,5405.8,180.19333333333333
0238-whbiq,0,Male,0,1,1,72,1,1,Dsl,1,1,1,1,1,1,Two year,0,Credit card (automatic),89.7,6339.3,211.31
0239-oxexl,0,Female,0,0,0,46,1,1,Fiber optic,1,1,0,0,0,0,Month-to-month,0,Mailed check,84.25,3847.6,128.25333333333333
0244-lgnfy,0,Female,0,1,1,72,1,1,Dsl,1,1,1,1,1,1,Two year,0,Bank transfer (automatic),92.65,6733.0,224.43333333333334
0247-sluji,0,Male,0,1,1,1,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.7,19.7,0.6566666666666666
0248-ipdfw,0,Female,0,0,0,1,1,1,Dsl,0,0,0,0,0,0,Month-to-month,1,Electronic check,50.1,50.1,1.6700000000000002
0248-pghbz,0,Female,1,0,0,67,1,0,Fiber optic,1,1,0,1,1,0,Two year,1,Bank transfer (automatic),92.45,6140.85,204.69500000000002
0253-zteob,0,Female,0,1,1,48,1,1,Dsl,0,1,0,1,1,1,Two year,0,Electronic check,79.65,3870.3,129.01000000000002
0254-fnmci,0,Female,0,0,0,72,1,0,Fiber optic,1,1,1,1,1,1,Two year,1,Electronic check,109.9,7624.2,254.14
0254-kcjgt,0,Male,0,1,0,52,1,1,Dsl,1,1,1,1,0,1,One year,1,Credit card (automatic),81.4,4354.45,145.14833333333334
0254-wwrkd,0,Female,0,1,1,67,1,0,Dsl,0,1,0,0,0,0,One year,0,Credit card (automatic),50.55,3431.75,114.39166666666667
0256-lthvj,1,Female,0,1,1,28,1,0,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,81.05,2227.1,74.23666666666666
0257-kxzgu,0,Female,0,1,1,32,1,1,Dsl,0,1,1,0,0,0,Month-to-month,0,Bank transfer (automatic),62.45,2045.55,68.185
0257-zesqc,1,Female,1,1,0,27,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),75.2,1929.35,64.31166666666667
0258-nokbl,0,Male,0,0,0,3,1,0,Fiber optic,0,1,1,0,0,1,Month-to-month,0,Electronic check,90.4,268.45,8.948333333333332
0259-gbzsh,1,Male,0,0,0,2,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,85.65,181.5,6.05
0260-zdlgk,1,Female,0,0,1,9,1,0,Dsl,0,0,1,1,1,1,Month-to-month,1,Mailed check,72.9,651.4,21.71333333333333
0263-fjtqo,0,Male,0,1,1,50,1,1,Dsl,1,0,0,1,1,0,Two year,1,Credit card (automatic),70.5,3486.65,116.22166666666666
0264-cnitk,0,Female,0,1,1,71,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.1,1389.6,46.32
0265-edxbd,1,Male,1,1,0,32,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,74.9,2303.35,76.77833333333334
0265-psuae,0,Female,0,1,1,16,1,0,Fiber optic,1,0,1,0,1,1,Month-to-month,0,Bank transfer (automatic),100.7,1522.7,50.75666666666667
0266-clzkz,0,Female,0,1,1,67,1,1,Fiber optic,0,0,1,1,1,1,Two year,1,Bank transfer (automatic),105.65,6717.9,223.92999999999998
0266-gmeao,0,Male,0,1,1,72,1,1,Fiber optic,1,1,1,1,1,1,Two year,1,Credit card (automatic),114.3,8058.55,268.61833333333334
0268-qkiwo,1,Female,0,0,0,3,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,19.75,58.85,1.9616666666666667
0269-xfesx,0,Male,0,1,1,23,1,1,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,24.35,538.5,17.95
0270-thenm,0,Male,0,1,1,72,1,1,Dsl,1,1,1,1,0,0,Two year,0,Bank transfer (automatic),69.85,5102.35,170.07833333333335
0274-jkujr,0,Male,0,1,1,7,0,0,Dsl,1,1,1,0,1,1,Month-to-month,0,Mailed check,58.85,465.7,15.523333333333333
0277-bksqp,0,Male,0,1,1,8,1,0,Dsl,0,0,0,0,1,0,Month-to-month,1,Electronic check,54.4,475.1,15.836666666666668
0277-orxqs,0,Male,0,1,1,66,0,0,Dsl,0,0,0,1,1,1,Two year,0,Bank transfer (automatic),50.55,3364.55,112.15166666666667
0278-yxoog,1,Male,0,0,0,5,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,21.05,113.85,3.795
0280-xjgex,1,Male,0,0,0,49,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Bank transfer (automatic),103.7,5036.3,167.87666666666667
0281-cntzx,0,Male,0,1,0,63,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),19.95,1234.8,41.16
